nom,prenom,email,groupe
Bennani,Fatima,fatima.bennani1@etu.uae.ac.ma,GP_GÉN
Tazi,Ahmed,ahmed.tazi2@etu.uae.ac.ma,GP_GÉN
Idrissi,Sara,sara.idrissi3@etu.uae.ac.ma,GP_GÉN
Kettani,Karim,karim.kettani4@etu.uae.ac.ma,GP_GÉN
Amrani,Youssef,youssef.amrani5@etu.uae.ac.ma,GP_GÉN
Chraibi,Laila,laila.chraibi6@etu.uae.ac.ma,GP_GÉN
Fassi,Omar,omar.fassi7@etu.uae.ac.ma,GP_GÉN
Benjelloun,Nadia,nadia.benjelloun8@etu.uae.ac.ma,GP_GÉN
Sefrioui,Hassan,hassan.sefrioui9@etu.uae.ac.ma,GP_GÉN
Badri,Meryem,meryem.badri10@etu.uae.ac.ma,GP_GÉN
Zahraoui,Rachid,rachid.zahraoui11@etu.uae.ac.ma,GP_GÉN
Cherkaoui,Samira,samira.cherkaoui12@etu.uae.ac.ma,GP_GÉN
Mansouri,Khalid,khalid.mansouri13@etu.uae.ac.ma,GP_GÉN
Tounsi,Imane,imane.tounsi14@etu.uae.ac.ma,GP_GÉN
Hajji,Abdelkader,abdelkader.hajji15@etu.uae.ac.ma,GP_GÉN
Lahlou,Houda,houda.lahlou16@etu.uae.ac.ma,GP_GÉN
Bouzidi,Mustapha,mustapha.bouzidi17@etu.uae.ac.ma,GP_GÉN
Haddaoui,Asma,asma.haddaoui18@etu.uae.ac.ma,GP_GÉN
Naji,Driss,driss.naji19@etu.uae.ac.ma,GP_GÉN
Moussaoui,Sanae,sanae.moussaoui20@etu.uae.ac.ma,GP_GÉN
Berrada,Hamza,hamza.berrada21@etu.uae.ac.ma,GP_GÉN
Filali,Zineb,zineb.filali22@etu.uae.ac.ma,GP_GÉN
Kadiri,Amine,amine.kadiri23@etu.uae.ac.ma,GP_GÉN
Ouazzani,Khadija,khadija.ouazzani24@etu.uae.ac.ma,GP_GÉN
Senhaji,Othmane,othmane.senhaji25@etu.uae.ac.ma,GP_GÉN
Benkirane,Leila,leila.benkirane26@etu.uae.ac.ma,GP_GÉN
Tahiri,Brahim,brahim.tahiri27@etu.uae.ac.ma,GP_GÉN
Kabbaj,Salma,salma.kabbaj28@etu.uae.ac.ma,GP_GÉN
Bennai,Yassir,yassir.bennai29@etu.uae.ac.ma,GP_GÉN
Alami,Mohammed,mohammed.alami30@etu.uae.ac.ma,GP_GÉN
Bennani,Fatima,fatima.bennani31@etu.uae.ac.ma,GP_GÉN
Tazi,Ahmed,ahmed.tazi32@etu.uae.ac.ma,GP_GÉN
Idrissi,Sara,sara.idrissi33@etu.uae.ac.ma,GP_GÉN
Kettani,Karim,karim.kettani34@etu.uae.ac.ma,GP_GÉN
Amrani,Youssef,youssef.amrani35@etu.uae.ac.ma,GP_GÉN
Chraibi,Laila,laila.chraibi36@etu.uae.ac.ma,GP_GÉN
Fassi,Omar,omar.fassi37@etu.uae.ac.ma,GP_GÉN
Benjelloun,Nadia,nadia.benjelloun38@etu.uae.ac.ma,GP_GÉN
Sefrioui,Hassan,hassan.sefrioui39@etu.uae.ac.ma,GP_GÉN
Badri,Meryem,meryem.badri40@etu.uae.ac.ma,GP_GÉN
Zahraoui,Rachid,rachid.zahraoui41@etu.uae.ac.ma,GP_GÉN
Cherkaoui,Samira,samira.cherkaoui42@etu.uae.ac.ma,GP_GÉN
Mansouri,Khalid,khalid.mansouri43@etu.uae.ac.ma,GP_GÉN
Tounsi,Imane,imane.tounsi44@etu.uae.ac.ma,GP_GÉN
Hajji,Abdelkader,abdelkader.hajji45@etu.uae.ac.ma,GP_GÉN
Lahlou,Houda,houda.lahlou46@etu.uae.ac.ma,GP_GÉN
Bouzidi,Mustapha,mustapha.bouzidi47@etu.uae.ac.ma,GP_GÉN
Haddaoui,Asma,asma.haddaoui48@etu.uae.ac.ma,GP_GÉN
Naji,Driss,driss.naji49@etu.uae.ac.ma,GP_GÉN
Moussaoui,Sanae,sanae.moussaoui50@etu.uae.ac.ma,GP_GÉN
Berrada,Hamza,hamza.berrada51@etu.uae.ac.ma,Gr_GÉN_1
Filali,Zineb,zineb.filali52@etu.uae.ac.ma,Gr_GÉN_1
Kadiri,Amine,amine.kadiri53@etu.uae.ac.ma,Gr_GÉN_1
Ouazzani,Khadija,khadija.ouazzani54@etu.uae.ac.ma,Gr_GÉN_1
Senhaji,Othmane,othmane.senhaji55@etu.uae.ac.ma,Gr_GÉN_1
Benkirane,Leila,leila.benkirane56@etu.uae.ac.ma,Gr_GÉN_1
Tahiri,Brahim,brahim.tahiri57@etu.uae.ac.ma,Gr_GÉN_1
Kabbaj,Salma,salma.kabbaj58@etu.uae.ac.ma,Gr_GÉN_1
Bennai,Yassir,yassir.bennai59@etu.uae.ac.ma,Gr_GÉN_1
Alami,Mohammed,mohammed.alami60@etu.uae.ac.ma,Gr_GÉN_1
Bennani,Fatima,fatima.bennani61@etu.uae.ac.ma,Gr_GÉN_1
Tazi,Ahmed,ahmed.tazi62@etu.uae.ac.ma,Gr_GÉN_1
Idrissi,Sara,sara.idrissi63@etu.uae.ac.ma,Gr_GÉN_1
Kettani,Karim,karim.kettani64@etu.uae.ac.ma,Gr_GÉN_1
Amrani,Youssef,youssef.amrani65@etu.uae.ac.ma,Gr_GÉN_1
Chraibi,Laila,laila.chraibi66@etu.uae.ac.ma,Gr_GÉN_1
Fassi,Omar,omar.fassi67@etu.uae.ac.ma,Gr_GÉN_1
Benjelloun,Nadia,nadia.benjelloun68@etu.uae.ac.ma,Gr_GÉN_1
Sefrioui,Hassan,hassan.sefrioui69@etu.uae.ac.ma,Gr_GÉN_1
Badri,Meryem,meryem.badri70@etu.uae.ac.ma,Gr_GÉN_1
Zahraoui,Rachid,rachid.zahraoui71@etu.uae.ac.ma,Gr_GÉN_1
Cherkaoui,Samira,samira.cherkaoui72@etu.uae.ac.ma,Gr_GÉN_1
Mansouri,Khalid,khalid.mansouri73@etu.uae.ac.ma,Gr_GÉN_1
Tounsi,Imane,imane.tounsi74@etu.uae.ac.ma,Gr_GÉN_1
Hajji,Abdelkader,abdelkader.hajji75@etu.uae.ac.ma,Gr_GÉN_1
Lahlou,Houda,houda.lahlou76@etu.uae.ac.ma,Gr_GÉN_2
Bouzidi,Mustapha,mustapha.bouzidi77@etu.uae.ac.ma,Gr_GÉN_2
Haddaoui,Asma,asma.haddaoui78@etu.uae.ac.ma,Gr_GÉN_2
Naji,Driss,driss.naji79@etu.uae.ac.ma,Gr_GÉN_2
Moussaoui,Sanae,sanae.moussaoui80@etu.uae.ac.ma,Gr_GÉN_2
Berrada,Hamza,hamza.berrada81@etu.uae.ac.ma,Gr_GÉN_2
Filali,Zineb,zineb.filali82@etu.uae.ac.ma,Gr_GÉN_2
Kadiri,Amine,amine.kadiri83@etu.uae.ac.ma,Gr_GÉN_2
